video_id,start_frame,end_frame
v_BoxingPunchingBag_g02_c03,95,99
v_BoxingPunchingBag_g02_c03,100,104
v_BoxingPunchingBag_g02_c03,105,108
v_BoxingPunchingBag_g02_c03,116,120
v_BoxingPunchingBag_g02_c03,125,129
v_BoxingPunchingBag_g02_c03,130,133
v_BoxingPunchingBag_g02_c03,157,161
v_BoxingPunchingBag_g02_c03,182,186
v_BoxingPunchingBag_g02_c03,205,209
v_BoxingPunchingBag_g02_c03,218,222
v_BoxingPunchingBag_g03_c01,18,23
v_BoxingPunchingBag_g03_c01,49,55
v_BoxingPunchingBag_g03_c01,61,67
v_BoxingPunchingBag_g03_c01,88,94
v_BoxingPunchingBag_g03_c01,118,124
v_BoxingPunchingBag_g03_c01,148,154
v_BoxingPunchingBag_g03_c01,155,161
v_BoxingPunchingBag_g04_c01,1,8
v_BoxingPunchingBag_g04_c01,9,13
v_BoxingPunchingBag_g04_c01,14,20
v_BoxingPunchingBag_g04_c01,21,27
v_BoxingPunchingBag_g04_c01,28,32
v_BoxingPunchingBag_g04_c01,33,40
v_BoxingPunchingBag_g04_c01,41,45
v_BoxingPunchingBag_g04_c01,46,52
v_BoxingPunchingBag_g04_c01,53,59
v_BoxingPunchingBag_g04_c01,60,67
v_BoxingPunchingBag_g04_c01,68,72
v_BoxingPunchingBag_g04_c01,73,79
v_BoxingPunchingBag_g04_c01,80,86
v_BoxingPunchingBag_g04_c01,87,94
v_BoxingPunchingBag_g04_c01,95,101
v_BoxingPunchingBag_g04_c01,102,108
v_BoxingPunchingBag_g04_c01,109,116
v_BoxingPunchingBag_g04_c01,117,125
v_BoxingPunchingBag_g04_c01,126,133
v_BoxingPunchingBag_g04_c01,134,140
v_BoxingPunchingBag_g04_c01,141,148
v_BoxingPunchingBag_g04_c01,149,155
v_BoxingPunchingBag_g04_c01,156,162
v_BoxingPunchingBag_g04_c01,163,170
v_BoxingPunchingBag_g04_c01,171,177
v_BoxingPunchingBag_g04_c01,178,184
v_BoxingPunchingBag_g04_c01,185,192
v_BoxingPunchingBag_g04_c01,193,199
v_BoxingPunchingBag_g04_c01,200,206
v_BoxingPunchingBag_g04_c01,207,214
v_BoxingPunchingBag_g04_c01,215,223
v_BoxingPunchingBag_g04_c01,224,231
v_BoxingPunchingBag_g04_c01,232,238
v_BoxingPunchingBag_g04_c01,239,245
v_BoxingPunchingBag_g07_c03,17,23
v_BoxingPunchingBag_g07_c03,24,29
v_BoxingPunchingBag_g07_c03,30,35
v_BoxingPunchingBag_g07_c03,36,41
v_BoxingPunchingBag_g07_c03,104,110
v_BoxingPunchingBag_g07_c03,111,115
v_BoxingPunchingBag_g07_c03,132,138
v_BoxingPunchingBag_g07_c03,141,147
v_BoxingPunchingBag_g07_c03,148,153
v_BoxingPunchingBag_g07_c03,154,158
v_BoxingPunchingBag_g07_c03,164,170
v_BoxingPunchingBag_g07_c03,210,216
v_BoxingPunchingBag_g07_c03,218,221
v_BoxingPunchingBag_g07_c03,224,230
v_BoxingPunchingBag_g07_c03,259,265
v_BoxingPunchingBag_g07_c03,281,287
v_BoxingPunchingBag_g07_c05,7,13
v_BoxingPunchingBag_g07_c05,35,41
v_BoxingPunchingBag_g07_c05,63,69
v_BoxingPunchingBag_g07_c05,110,116
v_BoxingPunchingBag_g07_c05,138,144
v_BoxingPunchingBag_g07_c05,145,150
v_BoxingPunchingBag_g07_c05,159,165
v_BoxingPunchingBag_g07_c05,200,206
v_BoxingPunchingBag_g07_c05,207,212
v_BoxingPunchingBag_g07_c05,213,218
v_BoxingPunchingBag_g07_c05,219,224
v_BoxingPunchingBag_g07_c05,281,287
v_BoxingPunchingBag_g07_c05,288,293
v_BoxingPunchingBag_g07_c05,294,296
v_BoxingPunchingBag_g07_c05,299,305
v_BoxingPunchingBag_g07_c07,10,16
v_BoxingPunchingBag_g07_c07,35,41
v_BoxingPunchingBag_g07_c07,42,46
v_BoxingPunchingBag_g07_c07,58,64
v_BoxingPunchingBag_g07_c07,65,71
v_BoxingPunchingBag_g07_c07,103,109
v_BoxingPunchingBag_g07_c07,136,142
v_BoxingPunchingBag_g07_c07,149,155
v_BoxingPunchingBag_g07_c07,210,216
v_BoxingPunchingBag_g07_c07,220,226
v_BoxingPunchingBag_g07_c07,227,233
